type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
0,139.671,119.501,129.586,10.0851,2.21457,-2.21456,3.8147e-06,2.21456,240.747,220.278,20.4693,-0.204008,1.12313,1.32714,-1.41965,-2.35553,-0.935884,137.158,280.532,235.123,257.828,22.7044,20.3658,10.1424,15.2541,5.11166,450.631,422.171,28.4599,-1.74574,-1.07554,0.670196,1.25197,0.797014,-0.454956
0,157.946,73.3134,115.63,42.3163,10.3194,6.5964,8.45791,1.86152,178.285,125.656,52.6293,-0.275999,0.407651,0.683649,3.87833,1.23406,-2.64427,59.1178,98.8722,72.4825,85.6773,13.1948,12.2231,10.3574,11.2902,0.932859,711.974,698.731,13.2433,2.83643,2.78791,-0.048514,0.384833,-1.47385,-1.85868
0,171.152,151.944,161.548,9.60425,17.9891,17.4623,17.7257,0.263388,232.908,184.854,48.0532,-1.77177,0.521325,2.2931,0.864321,-1.47739,-2.34171,53.7962,130.36,81.1115,105.736,24.6242,18.2984,6.72817,12.5133,5.78511,261.923,235.982,25.9407,1.67151,1.43993,-0.231577,-0.893573,1.80924,2.70282
0,116.899,95.5599,106.23,10.6696,1.89604,-1.89604,-2.33602e-06,1.89604,172.136,120.914,51.222,2.77011,0.519922,-2.25019,1.72335,2.8103,1.08695,38.2365,148.826,57.1833,103.005,45.8216,21.5276,2.17251,11.8501,9.67754,386.29,237.864,148.426,3.31963,1.47812,-1.84151,-0.103025,-0.35756,-0.254535
0,95.3434,68.8953,82.1193,13.2241,17.0252,10.8489,13.9371,3.08814,266.446,250.364,16.0822,1.16572,1.77819,0.612478,-2.72694,-2.48629,0.240655,81.6326,90.8989,63.1662,77.0325,13.8664,11.0503,5.16107,8.10568,2.94461,831.588,817.245,14.3434,3.20971,3.05258,-0.157127,2.89075,1.7559,-1.13485
0,148.787,94.9144,121.851,26.9362,11.2049,4.02833,7.61664,3.58831,562.959,533.592,29.367,-1.75415,-2.15658,-0.402432,-0.712612,1.51489,2.22751,105.64,63.0939,41.8731,52.4835,10.6104,10.2789,5.47212,7.87552,2.40341,169.799,152.886,16.9132,-2.75908,-1.73007,1.02902,-1.21559,-0.66004,0.555551
0,140.839,12.9354,76.8872,63.9518,19.9694,-14.822,2.57374,17.3957,155.069,86.705,68.3642,-0.758477,-0.49917,0.259307,-1.9749,0.582012,2.55691,40.599,151.556,134.415,142.986,8.57052,11.5758,8.47877,10.0273,1.54851,192.829,183.548,9.2812,1.10013,0.734093,-0.366035,-3.20528,-1.2014,2.00388
0,90.4034,64.8891,77.6462,12.7572,6.70439,-1.33841,2.68299,4.0214,158.858,115.85,43.0086,0.926205,-0.954892,-1.8811,-0.809955,-0.730255,0.0797005,30.7025,654.219,32.8126,343.516,310.703,77.6852,25.5996,51.6424,26.0428,2421.49,1594.48,827.017,3.85015,2.21587,-1.63428,-3.41875,-1.154,2.26476
0,157.519,72.2868,114.903,42.6162,26.3156,20.182,23.2488,3.06682,195.378,117.347,78.0319,-1.16726,0.0452145,1.21247,-2.44106,-2.16228,0.278787,65.5339,217.305,116.677,166.991,50.3144,24.9981,8.02702,16.5126,8.48556,245.205,169.015,76.19,-1.08734,-0.120581,0.966756,3.29511,0.83245,-2.46266
0,110.112,81.7957,95.9539,14.1582,2.90501,-0.943705,0.980653,1.92436,133.466,119.168,14.2979,0.645385,0.682234,0.0368486,-1.61243,0.697792,2.31022,88.1877,194.382,55.1624,124.772,69.6097,21.0563,0.527283,10.7918,10.2645,410.209,127.568,282.641,-2.27155,-0.193328,2.07822,2.0798,-0.768027,-2.84783
0,98.0393,77.5526,87.796,10.2433,9.16063,4.23024,6.69543,2.46519,100.967,90.0407,10.9259,0.0660299,-0.212804,-0.278834,0.824583,0.580383,-0.2442,85.8395,138.6,119.889,129.244,9.35544,24.4204,22.621,23.5207,0.899729,148.498,138.931,9.56714,-0.533039,-0.343082,0.189957,-2.01087,-3.03517,-1.0243
0,78.6106,55.9955,67.3031,11.3076,6.45651,0.749386,3.60295,2.85356,148.994,77.6245,71.3694,1.98359,-0.544808,-2.5284,5.04013,2.4282,-2.61193,42.1294,112.281,83.8831,98.0819,14.1988,10.2334,4.4307,7.33203,2.90133,220.166,128.067,92.0998,3.31708,0.760715,-2.55636,-3.68582,-1.02657,2.65924
0,80.4496,41.7887,61.1192,19.3305,5.44271,-1.95642,1.74314,3.69957,314.845,234.793,80.0525,-4.11975,-2.02161,2.09814,-0.183962,-1.9291,-1.74514,227.6,709.67,22.8335,366.252,343.418,46.9615,-7.18781,19.8868,27.0746,1236.46,432.685,803.779,2.08534,0.591566,-1.49377,2.3703,2.74089,0.370588
0,130.898,112.729,121.813,9.08446,4.01436,0.653895,2.33413,1.68023,251.278,242.003,9.27532,1.39988,1.30917,-0.0907023,-1.42688,0.990979,2.41786,54.5729,223.454,45.5194,134.487,88.9672,20.7561,10.5499,15.653,5.10311,478.104,180.253,297.851,-2.67575,-0.797527,1.87823,-1.6072,-2.9019,-1.2947
0,112.349,12.1354,62.242,50.1066,15.1494,15.1494,15.1494,2.6974e-06,225.606,106.543,119.063,0.391985,-1.11912,-1.5111,-1.98229,-3.02112,-1.03883,32.9239,82.5288,63.3434,72.9361,9.59272,11.5116,6.44077,8.9762,2.53543,214.475,194.502,19.9732,-2.98954,-1.63569,1.35385,-1.83117,1.08984,2.92101
0,98.0511,62.7129,80.382,17.6691,6.90264,-1.11831,2.89216,4.01047,247.448,226.433,21.0153,1.12457,1.69561,0.571041,-2.75385,-2.28438,0.469467,256.814,536.831,167.015,351.923,184.908,62.0639,23.0307,42.5473,19.5166,1225.05,709.496,515.552,3.00803,1.3241,-1.68393,-1.96287,0.192749,2.15562
0,70.6998,52.4103,61.555,9.14478,3.77544,0.18384,1.97964,1.7958,107.489,77.6903,29.7989,-1.13953,0.708572,1.8481,-2.03269,0.234091,2.26678,81.6091,94.6773,72.6282,83.6528,11.0246,23.5347,20.4166,21.9756,1.55907,326.153,147.713,178.44,4.63239,1.15612,-3.47627,5.31352,2.48091,-2.83261
0,169.995,105.875,137.935,32.0602,19.6755,17.3474,18.5115,1.16406,225.745,192.421,33.3244,0.577549,0.85522,0.277671,2.87629,-0.20109,-3.07738,31.6584,137.567,96.8031,117.185,20.382,29.3725,19.7946,24.5835,4.78892,373.854,352.211,21.6434,-2.02805,-1.76213,0.265919,3.32579,2.9825,-0.343287
0,95.4505,54.5117,74.9811,20.4694,17.3146,9.88283,13.5987,3.7159,952.424,847.133,105.292,0.794943,3.11567,2.32073,3.86203,1.41962,-2.4424,110.177,339.316,246.63,292.973,46.3433,38.1068,27.0873,32.597,5.50977,829.333,378.724,450.609,-3.70663,-0.741691,2.96494,-3.40129,-2.49571,0.905575
0,220.669,129.712,175.19,45.4785,17.6704,12.1035,14.887,2.78348,888.555,842.954,45.6011,2.21244,2.25305,0.0406113,2.34645,1.26055,-1.0859,112.992,77.6633,35.8165,56.7399,20.9234,9.1856,1.98728,5.58644,3.59916,99.6829,78.0819,21.601,1.0277,0.838482,-0.189221,-2.57346,-2.34043,0.233033
0,86.1439,37.0869,61.6154,24.5285,7.83235,-3.97085,1.93075,5.9016,172.826,63.4312,109.395,-2.4142,-0.240227,2.17397,-0.47955,1.73312,2.21267,46.8915,91.1019,60.4209,75.7614,15.3405,18.7982,11.5949,15.1965,3.60161,856.612,834.099,22.5137,4.00472,3.08967,-0.915049,0.113582,-1.46282,-1.5764
0,75.1588,52.6131,63.8859,11.2728,9.86382,6.43229,8.14805,1.71577,128.493,72.9357,55.5576,1.7642,-0.513024,-2.27723,-1.04012,-1.21419,-0.174072,35.0076,76.0077,52.1299,64.0688,11.9389,9.64603,6.11705,7.88154,1.76449,80.9286,67.1393,13.7893,0.817374,0.284278,-0.533096,2.84517,2.68804,-0.157128
0,194.916,154.405,174.66,20.2553,33.0788,29.7327,31.4057,1.67304,1713.58,1693.05,20.5267,2.82026,2.96175,0.141489,-3.30048,-0.520039,2.78044,52.7278,182.039,164.73,173.385,8.65465,27.1652,23.4959,25.3305,1.83467,234.641,218.189,16.4524,1.94345,0.693013,-1.25044,0.64588,2.95683,2.31095
0,206.217,172.644,189.431,16.7869,13.7035,10.5447,12.1241,1.57938,405.535,356.806,48.7288,0.480893,-1.24628,-1.72718,-2.61054,0.313347,2.92389,100.991,265.74,139.729,202.735,63.0054,27.3143,12.7958,20.055,7.25922,982.275,917.284,64.9908,2.41337,2.18998,-0.223395,-1.34426,-2.94203,-1.59777
0,107.61,37.1411,72.3753,35.2342,9.50439,-4.39187,2.55626,6.94813,141.322,72.9601,68.3615,1.39774,0.122081,-1.27566,-2.82627,-2.46074,0.365537,33.339,102.006,42.6825,72.3444,29.6618,23.2412,8.76044,16.0008,7.24037,422.717,218.221,204.496,4.38358,1.76568,-2.6179,0.399374,0.944728,0.545354
0,102.43,37.6737,70.0519,32.3782,12.8561,-0.0652137,6.39544,6.46066,212.162,70.8957,141.266,2.02607,-0.12576,-2.15183,-1.6647,0.717601,2.3823,343.574,407.328,372.881,390.105,17.2232,19.5075,12.4652,15.9863,3.52115,730.346,682.486,47.8605,-2.83632,-1.15812,1.6782,0.57838,-2.49052,-3.0689
0,141.097,97.124,119.11,21.9863,25.9835,24.4213,25.2024,0.781072,269.192,178.383,90.8093,-1.14976,0.946702,2.09646,1.78253,1.44435,-0.338182,72.0217,143.844,84.7459,114.295,29.5489,11.7681,3.496,7.63207,4.13607,667.63,633.436,34.1947,2.93606,2.39721,-0.53885,-3.17271,-1.85521,1.3175
0,108.176,37.2238,72.6998,35.476,9.04425,-4.43863,2.30281,6.74144,453.634,376.475,77.1583,-3.73641,-2.32819,1.40822,-3.45564,-1.6643,1.79134,233.84,253.844,197.403,225.624,28.2207,19.7611,6.12743,12.9443,6.81686,315.604,286.264,29.34,-0.865614,-0.716002,0.149612,0.307138,1.02751,0.720374
0,261.335,168.253,214.794,46.5409,17.3728,17.3728,17.3728,-1.16801e-06,270.721,222.887,47.8338,-0.497177,-0.262008,0.235169,-3.02426,-0.648374,2.37589,258.052,160.916,73.8802,117.398,43.5179,21.2616,4.24423,12.7529,8.50869,407.22,163.167,244.053,3.26087,0.852171,-2.4087,1.38997,-1.17951,-2.56948
0,242.445,160.763,201.604,40.8411,32.9428,30.4394,31.6911,1.25171,298.442,256.741,41.7007,-0.91378,-0.711208,0.202572,2.68514,1.16914,-1.516,111.912,111.586,43.6948,77.6406,33.9458,18.2352,1.99184,10.1135,8.12165,307.213,143.998,163.215,3.47692,1.22573,-2.25119,-4.28625,-2.07846,2.20779
0,101.665,61.2865,81.4756,20.1891,3.83177,-3.83176,5.3948e-06,3.83177,304.575,277.241,27.3333,-2.69884,-1.8954,0.803434,1.00118,-1.99277,-2.99395,57.7055,236.075,7.67774,121.877,114.199,25.3975,-9.99366,7.70191,17.6956,481.229,208.533,272.696,2.64456,1.13037,-1.5142,-2.00094,0.470783,2.47172
0,110.292,32.9391,71.6155,38.6764,13.4319,8.11996,10.7759,2.65599,310.26,266.43,43.8295,-2.49425,-1.98753,0.50672,2.51913,2.82311,0.303977,75.5397,84.5594,33.387,58.9732,25.5862,7.47136,-1.62215,2.9246,4.54675,433.262,85.2958,347.966,4.21375,0.91199,-3.30176,0.0226659,-1.13716,-1.15982
0,151.543,48.1651,99.8541,51.689,7.85563,2.82592,5.34078,2.51485,997.573,752.765,244.808,0.471748,2.70874,2.23699,-2.43368,-0.212842,2.22084,63.5495,96.0044,10.3612,53.1828,42.8216,14.0364,-3.01635,5.51003,8.52637,407.55,99.2279,308.322,3.89593,1.23392,-2.66201,2.42218,-0.538931,-2.96111
0,157.01,117.753,137.381,19.6284,20.5925,10.4856,15.539,5.05348,293.338,226.086,67.2515,0.819903,-1.07974,-1.89964,-0.311368,-0.165445,0.145923,99.1635,342.337,170.471,256.404,85.9332,32.9565,11.0364,21.9964,10.96,881.815,782.205,99.61,-2.32489,-1.78008,0.544812,2.47098,2.92371,0.452728
0,98.7096,39.4507,69.0802,29.6295,12.0246,6.7899,9.40727,2.61737,118.744,69.8855,48.8585,1.15341,0.0699843,-1.08343,-0.351446,-0.128285,0.223161,58.2041,159.136,131.311,145.224,13.9125,19.3741,16.501,17.9375,1.43654,168.197,154.144,14.0528,0.425668,0.327808,-0.0978599,0.371984,2.90359,2.53161
0,107.967,44.4611,76.214,31.753,6.94865,6.94865,6.94865,0,165.676,111.798,53.8784,-0.191339,0.929559,1.1209,4.15191,1.01571,-3.1362,50.6559,87.3282,67.1687,77.2485,10.0798,13.8005,11.074,12.4373,1.36324,172.48,81.7391,90.7411,3.18896,0.301549,-2.88741,-3.40504,-2.25931,1.14573
0,79.972,49.4981,64.7351,15.237,4.54423,-0.615765,1.96423,2.57999,130.492,68.7365,61.756,2.42473,0.348598,-2.07614,2.29867,2.42447,0.125799,50.9101,145.417,112.81,129.114,16.3039,9.39676,1.55129,5.47403,3.92274,283.176,182.904,100.271,3.38531,0.883141,-2.50217,-2.36235,-0.973575,1.38877
0,242.639,149.186,195.913,46.7268,8.67183,8.67183,8.67183,1.3487e-06,496.745,408.008,88.7372,0.106512,1.36313,1.25662,-1.75327,-1.53892,0.214353,36.6317,224.765,199.335,212.05,12.715,17.2099,11.4206,14.3152,2.89466,274.593,259.207,15.3861,1.25717,0.652479,-0.604695,-0.414875,1.75335,2.16823
0,142.842,46.601,94.7215,48.1205,18.1399,-2.68984,7.72505,10.4149,1190.09,1098.8,91.2984,-1.89449,-3.14229,-1.2478,-2.58924,0.181664,2.7709,37.5526,340.682,105.48,223.081,117.601,41.5116,-18.785,11.3633,30.1483,453.814,326.784,127.03,1.24224,0.929485,-0.31276,1.95706,-1.00061,-2.95766
0,200.521,132.535,166.528,33.9932,27.6663,18.981,23.3237,4.34261,303.03,266.239,36.791,0.656778,1.04103,0.384256,0.165885,1.08237,0.916488,135.778,178.376,113.601,145.988,32.3877,44.9937,24.3302,34.662,10.3318,212.734,153.968,58.7666,-1.41798,-0.234335,1.18365,-4.51215,-2.49743,2.01472
0,113.781,46.5184,80.1496,33.6313,16.6725,13.2334,14.953,1.71955,133.641,83.3639,50.2772,1.17226,0.215152,-0.957108,0.173152,-2.82143,-2.99458,59.1315,101.202,32.6006,66.9015,34.3009,12.5833,-1.05938,5.76198,6.82137,107.855,71.7386,36.1161,-0.628864,-0.36895,0.259914,-1.48305,-0.0970904,1.38596
0,245.096,6.37468,125.735,119.361,26.0489,7.26476,16.6568,9.39206,435.812,137.307,298.505,-1.15966,0.406981,1.56664,5.47855,2.45078,-3.02778,132.327,833.971,98.3754,466.173,367.798,77.7017,52.655,65.1784,12.5233,1032.05,597.316,434.734,1.31765,0.723909,-0.59374,2.68556,0.0614361,-2.62412
0,78.7807,44.209,61.4949,17.2859,6.3861,-1.75981,2.31315,4.07296,160.795,61.6399,99.1549,-2.37394,0.0574619,2.4314,2.48033,3.02668,0.546351,92.1427,250.584,127.648,189.116,61.4681,50.2971,21.1373,35.7172,14.5799,538.606,307.922,230.684,-3.056,-1.06064,1.99536,-2.17411,-1.06848,1.10564
0,93.5381,74.6682,84.1031,9.43493,7.60194,3.96186,5.7819,1.82004,100.512,87.9571,12.5546,1.07022,0.294108,-0.776108,-3.13323,-1.77535,1.35788,36.3085,86.8984,22.755,54.8267,32.0717,11.8632,-0.356725,5.75326,6.10998,234.416,55.1352,179.281,2.42205,0.0166109,-2.40544,1.64286,1.75513,0.112266
0,127.8,16.3943,72.097,55.7027,16.0904,-7.17034,4.46002,11.6304,185.469,83.6732,101.796,1.75977,0.556552,-1.20321,-2.77964,-2.52436,0.255286,40.0634,68.5777,47.2832,57.9305,10.6473,13.3176,8.70688,11.0122,2.30536,129.487,116.783,12.7037,-1.90155,-1.32096,0.580597,-0.370566,1.15595,1.52652
0,183.193,155.307,169.25,13.9431,24.0667,16.9424,20.5046,3.56212,801.639,784.132,17.5068,-2.87906,-2.21414,0.664922,1.29563,0.328364,-0.967268,115.003,141.581,32.3177,86.9493,54.6316,22.5116,3.65061,13.0811,9.43048,154.282,98.8223,55.46,0.525525,0.49793,-0.0275949,-1.14484,-2.2565,-1.11166
0,121.602,90.2091,105.906,15.6966,25.1943,22.5802,23.8872,1.30705,164.125,110.634,53.4905,-1.69693,0.199702,1.89664,4.09148,2.85699,-1.23449,92.6858,141.398,13.0727,77.2353,64.1626,15.0144,-0.951581,7.0314,7.98298,247.245,182.586,64.6592,1.5122,1.50462,-0.00758153,2.01462,-0.33986,-2.35448
0,106.545,80.4678,93.5065,13.0387,14.7627,8.56108,11.6619,3.10079,364.779,349.824,14.9549,1.50447,1.99361,0.489143,-1.85372,-0.368109,1.48562,55.9121,190.573,163.536,177.055,13.5181,18.7376,14.8095,16.7735,1.96402,346.98,332.981,13.9993,1.46834,1.24365,-0.224694,4.10422,3.00719,-1.09702
0,174.935,118.437,146.686,28.2487,14.3241,8.62305,11.4736,2.85052,1917.95,1842.72,75.2295,4.85683,3.22224,-1.63459,-0.522735,1.01092,1.53365,64.2719,104.347,68.7983,86.5725,17.7743,13.6504,8.48238,11.0664,2.58402,123.232,93.9058,29.3262,1.47138,0.390325,-1.08105,-1.99898,-2.30916,-0.310179
0,92.2528,31.2436,61.7482,30.5046,8.63652,-3.85972,2.3884,6.24812,135.957,72.3829,63.5738,1.9364,0.577744,-1.35866,-5.05175,-2.49374,2.55801,32.7784,120.904,99.2378,110.071,10.8331,9.64595,5.43533,7.54064,2.10531,150.505,116.05,34.4553,2.14394,0.321398,-1.82255,-1.28387,0.125818,1.40969
0,89.4615,66.0073,77.7344,11.7271,5.53165,2.63462,4.08313,1.44851,127.853,77.9351,49.9179,2.17619,0.0490912,-2.1271,-1.99642,0.987154,2.98357,55.9983,91.3751,49.7392,70.5572,20.8179,10.3465,0.589872,5.46819,4.87832,713.505,101.486,612.019,-4.97686,-0.903083,4.07378,-5.44732,-2.60665,2.84067
0,83.2738,59.3821,71.3279,11.9459,13.3888,10.5485,11.9687,1.42019,100.962,78.3116,22.6501,-0.84297,0.409469,1.25244,-2.02912,-0.120708,1.90841,57.6055,99.0486,48.9582,74.0034,25.0452,13.5092,1.89557,7.70237,5.8068,379.629,329.113,50.5156,3.49131,2.17227,-1.31904,4.73481,2.34409,-2.39072
0,85.5757,38.7878,62.1818,23.3939,6.004,-0.32205,2.84098,3.16303,106.805,82.8543,23.9503,0.965404,0.793477,-0.171927,-1.96882,-1.44682,0.521999,91.2122,125.819,89.4933,107.656,18.1628,19.3135,13.0603,16.1869,3.12658,236.561,155.654,80.9075,3.07824,0.904773,-2.17347,3.1508,1.12981,-2.02099
0,223.979,39.812,131.896,92.0836,15.5889,10.3627,12.9758,2.61308,1152.82,687.581,465.244,-0.0317521,-2.33481,-2.30305,1.95472,0.561379,-1.39334,38.5825,222.13,196.362,209.246,12.8838,14.9679,11.266,13.117,1.85096,338.397,223.689,114.708,3.24081,0.364543,-2.87626,0.302938,-2.80351,-3.10645
0,96.3383,65.9683,81.1533,15.185,4.34928,-0.157643,2.09582,2.25346,221.114,204.933,16.1812,-1.24689,-1.5777,-0.330807,2.75881,0.0302299,-2.72858,66.8566,191.744,138.859,165.301,26.4424,35.8276,23.7008,29.7642,6.06339,217.206,187.962,29.2438,-0.892569,-0.490531,0.402038,5.41915,3.00562,-2.41353
0,86.1177,40.2684,63.1931,22.9246,20.9009,14.9284,17.9146,2.98628,207.592,152.18,55.4121,-3.04645,-1.51815,1.52831,2.979,0.423957,-2.55505,81.4476,167.383,55.8322,111.608,55.7753,25.5527,8.83144,17.1921,8.36065,354.718,139.203,215.516,2.70341,0.67652,-2.02689,-2.58984,-1.56402,1.02582
0,111.674,91.3863,101.53,10.1439,6.71674,3.64525,5.18099,1.53574,546.484,469.472,77.0128,4.92812,2.21243,-2.71568,-1.13328,-0.11033,1.02294,41.2559,121.891,68.2891,95.0898,26.8007,13.1494,0.804193,6.97679,6.1726,734.052,630.407,103.644,4.60559,2.57889,-2.02669,5.14093,3.03986,-2.10107
0,105.924,64.4904,85.2071,20.7167,3.81546,-0.731037,1.54221,2.27325,165.043,142.156,22.8865,0.657832,1.09981,0.441975,-3.64672,-2.90987,0.736851,92.3992,326.908,149.722,238.315,88.593,31.3469,-6.5749,12.386,18.9609,1182.19,1075.82,106.369,2.78142,2.18783,-0.593598,2.80844,-0.178874,-2.98732
0,90.3345,46.8793,68.6069,21.7276,7.06556,2.29298,4.67927,2.38629,446.92,103.267,343.654,-4.41885,-0.965679,3.45317,-2.87642,-1.97631,0.90011,36.453,77.4093,35.797,56.6031,20.8061,10.5251,1.49533,6.0102,4.51486,111.607,59.2924,52.3148,-1.8582,-0.28922,1.56898,-0.187045,0.522206,0.70925
0,92.3422,59.2315,75.7868,16.5554,12.2217,10.7816,11.5017,0.720042,112.207,87.6595,24.5475,-1.48143,-0.535178,0.946254,-1.99068,-2.26293,-0.272254,36.3797,196.212,136.299,166.255,29.9563,43.6091,28.9095,36.2593,7.34976,346.088,181.833,164.255,2.76192,0.376533,-2.38539,-0.646629,1.49217,2.1388
0,106.012,48.6996,77.3557,28.6561,16.2427,15.0265,15.6346,0.60811,269.85,184.764,85.0858,3.2646,1.51283,-1.75177,-3.17215,-2.33991,0.83224,62.8451,193.581,162.407,177.994,15.5872,18.2279,13.275,15.7514,2.47644,258.956,242.791,16.1645,1.04843,0.826205,-0.222221,-1.38562,-0.904753,0.480868
0,212.326,146.601,179.463,32.8627,20.0608,18.3089,19.1849,0.875942,396.502,315.219,81.2831,-0.394024,1.16104,1.55506,3.81682,1.45337,-2.36345,295.795,244.96,183.255,214.108,30.8522,11.9921,-2.66402,4.66405,7.32807,812.125,632.501,179.623,4.19286,1.74636,-2.4465,-2.44097,-0.0639703,2.377
0,187.646,160.292,173.969,13.6771,19.5253,16.8554,18.1903,1.33497,261.237,234.158,27.0792,2.10888,0.805016,-1.30386,-0.892926,1.84284,2.73577,97.2735,151.335,89.0216,120.178,31.1567,15.3052,8.9441,12.1246,3.18053,484.915,440.656,44.2584,-2.8569,-1.97291,0.883989,0.755558,-1.31181,-2.06737
0,150.964,130.601,140.782,10.1817,8.29781,6.08063,7.18922,1.10859,467.63,449.244,18.3866,0.633239,1.82786,1.19462,-0.6143,1.19581,1.81011,106.119,238.598,218.234,228.416,10.182,17.4401,13.645,15.5425,1.89755,251.313,229.384,21.9287,1.45929,0.062087,-1.39721,-3.26597,-2.31288,0.953085
0,155.744,125.025,140.384,15.3593,6.77656,1.56681,4.17168,2.60488,196.248,158.298,37.9496,-2.05059,-0.499213,1.55137,2.52971,2.14335,-0.386355,85.4015,192.03,146.77,169.4,22.6297,10.9176,0.239563,5.57859,5.33902,311.602,230.867,80.7351,-2.77012,-0.827595,1.94253,-0.908251,-0.883305,0.0249458
0,129.263,102.951,116.107,13.1562,9.20522,4.72771,6.96646,2.23876,300.451,262.45,38.0014,0.265287,-1.45533,-1.72062,-1.83058,-2.68448,-0.853896,56.3474,75.99,34.0838,55.0369,20.9531,10.3133,4.36481,7.33904,2.97422,363.346,341.4,21.9457,-2.78517,-2.5114,0.273766,0.755165,0.655626,-0.0995386
